Time,Search Query
2023/12/05 20:41:59 UTC,webexport
2023/12/04 20:50:15 UTC,Ingeniero de software
2023/12/11 19:03:56 UTC,tester qa
2023/12/12 12:27:11 UTC,desarrolladores abap sr.
2023/12/15 21:46:10 UTC,desarrolladores ABAP Sr.
2024/01/02 12:26:33 UTC,tester / qa
2023/12/07 20:18:49 UTC,qa analyst
2023/12/05 20:43:43 UTC,webexport
2023/12/12 20:49:36 UTC,qa analyst
2023/12/12 20:50:32 UTC,qa
2023/12/14 20:37:32 UTC,qa analyst
2023/12/04 20:49:48 UTC,qa tester
2023/12/04 20:49:49 UTC,Ingeniero de software
2023/12/07 20:01:46 UTC,webexport
2023/12/11 20:21:28 UTC,qa analyst
2023/12/18 18:57:50 UTC,qa tester
2023/12/07 20:00:26 UTC,webexport
2023/12/07 20:13:23 UTC,fabricio micolini
2023/12/13 21:00:03 UTC,qa
2023/12/11 20:51:45 UTC,tester / qa
2023/12/11 20:51:46 UTC,Ingeniero de software
2023/12/07 20:13:23 UTC,webexport
2023/12/14 20:37:29 UTC,tester qa
2023/12/04 20:48:47 UTC,cosys global | grupo kelsoft
2023/12/21 19:03:02 UTC,Benzai Recursos Humanos
2023/12/04 20:49:48 UTC,qa apprenticeships
2023/12/20 20:08:24 UTC,MC Group Venezuela
2023/12/11 18:56:21 UTC,qa tester
2023/12/12 20:50:34 UTC,qa tester
2023/12/21 18:46:24 UTC,milagros lavi palomino
2024/01/02 20:58:42 UTC,programador
2023/12/14 20:24:01 UTC,tester / qa
2023/12/07 20:04:18 UTC,webexport
2023/12/20 20:04:49 UTC,analista qa
2023/12/07 20:03:04 UTC,qa apprenticeships
2023/12/11 20:47:54 UTC,tester / qa
2023/12/12 20:50:41 UTC,desarrolladores ABAP Sr.
2023/12/07 20:39:40 UTC,tester / qa
2023/12/19 19:10:55 UTC,desarrolladores ABAP Sr.
2023/12/11 19:06:45 UTC,webexport
2023/12/11 18:56:26 UTC,webexport
2023/12/11 20:47:54 UTC,tester qa
2023/12/07 20:39:41 UTC,qa
2023/12/12 20:50:39 UTC,tester / qa
2023/12/14 20:46:54 UTC,qa tester
2023/12/11 18:56:21 UTC,tester qa
2023/12/11 20:47:54 UTC,qa
2023/12/12 19:15:49 UTC,Raúl Hernández
2023/12/05 19:15:45 UTC,qa tester
2023/12/18 12:21:06 UTC,tester qa
2023/12/14 20:37:32 UTC,qa
2023/12/11 19:06:46 UTC,qa
2023/12/14 20:22:49 UTC,desarrolladores abap sr.
2023/12/05 19:15:49 UTC,qa tester
2023/12/14 20:24:01 UTC,tester / qa
2023/12/18 19:39:11 UTC,tester qa
2023/12/12 20:49:36 UTC,qa
2023/12/12 20:49:36 UTC,Consultor de SAP
2023/12/20 18:47:15 UTC,analista qa
2023/12/05 20:29:21 UTC,Fabricio Micolini
2023/12/04 20:49:02 UTC,qa tester
2023/12/18 18:57:48 UTC,tester qa
2023/12/11 20:59:54 UTC,tester qa
2023/12/21 19:37:31 UTC,Novatium
2023/12/05 19:24:54 UTC,webexport
2023/12/14 20:22:49 UTC,tester / qa
2023/12/21 18:46:25 UTC,milagros lavi palomino
2023/12/19 21:01:35 UTC,tester / qa
2023/12/11 19:03:53 UTC,tester qa
2023/12/11 19:03:53 UTC,qa analyst
2023/12/12 20:50:42 UTC,qa analyst
2024/01/02 20:32:00 UTC,cosys global | grupo kelsoft
2023/12/11 19:04:00 UTC,WebExport
2023/12/12 21:00:20 UTC,desarrollador
2023/12/21 18:58:01 UTC,tester qa
2023/12/12 20:50:34 UTC,qa
2023/12/11 18:56:26 UTC,qa
2023/12/21 19:23:24 UTC,finnegans
2023/12/05 19:15:50 UTC,qa tester
2023/12/11 20:21:28 UTC,webexport
2024/01/02 20:50:32 UTC,programador
2023/12/15 21:44:30 UTC,tester qa
2023/12/05 20:29:21 UTC,WebExport
2023/12/13 21:04:50 UTC,desarrolladores ABAP Sr.
2023/12/11 19:06:46 UTC,qa analyst
2023/12/04 20:50:15 UTC,fabricio micolini
2023/12/12 12:27:11 UTC,desarrolladores abap sr.
2023/12/21 18:44:49 UTC,sheila honorio
2023/12/14 20:24:01 UTC,qa analyst
2023/12/14 20:37:32 UTC,qa
2023/12/07 20:18:49 UTC,qa analyst
2023/12/07 20:00:27 UTC,qa tester
2023/12/15 21:43:46 UTC,tester qa
2023/12/07 20:39:40 UTC,qa apprenticeships
2023/12/20 20:14:42 UTC,analista qa
2023/12/14 20:37:32 UTC,qa tester
2023/12/04 20:49:02 UTC,qa analyst
2023/12/21 18:58:01 UTC,desarrolladores ABAP Sr.
2023/12/20 20:04:32 UTC,analista qa
2023/12/04 20:50:14 UTC,webexport
2023/12/04 20:49:48 UTC,fabricio micolini
2023/12/22 20:31:02 UTC,Analista de ventas
2023/12/11 19:06:46 UTC,qa tester
2023/12/07 20:01:46 UTC,qa
2023/12/07 20:18:49 UTC,qa
2023/12/21 19:37:30 UTC,Novatium
2023/12/18 19:21:47 UTC,tester / qa
2023/12/11 19:04:00 UTC,tester / qa
2023/12/20 20:36:15 UTC,It School - Educación IT | Grupo KELSOFT
2023/12/14 20:24:01 UTC,tester qa
2023/12/07 20:00:27 UTC,webexport
2023/12/12 20:48:46 UTC,tester qa
2023/12/12 20:49:36 UTC,tester qa
2023/12/19 19:10:55 UTC,tester / qa
2024/01/02 20:02:24 UTC,creare sistemas
2024/01/02 19:27:42 UTC,olv ziekenhuis aalst-asse-ninove
2023/12/07 19:48:31 UTC,qa apprenticeships
2023/12/20 21:02:35 UTC,It School - Educación IT | Grupo KELSOFT
2024/01/02 20:24:25 UTC,CLUDE - CARTAO DE SAUDE 360 LTDA
2023/12/21 19:01:14 UTC,Taynes
2024/01/02 19:28:10 UTC,Taynes Consultores
2023/12/12 20:50:39 UTC,tester qa
2023/12/07 20:00:26 UTC,qa apprenticeships
2024/01/02 20:00:34 UTC,analista qa
2023/12/11 20:05:28 UTC,tester qa
2023/12/18 20:29:10 UTC,it school - educación it | grupo kelsoft
2023/12/11 19:06:46 UTC,qa
2023/12/18 19:41:19 UTC,analista qa
2023/12/20 20:04:31 UTC,tester / qa
2023/12/05 19:17:16 UTC,fabricio micolini
2023/12/18 19:41:21 UTC,analista qa
2024/01/02 19:55:30 UTC,analista qa
2023/12/07 20:00:27 UTC,fabricio micolini
2023/12/18 20:56:33 UTC,ABAP Sr
2023/12/13 21:04:50 UTC,qa tester
2023/12/12 20:48:46 UTC,qa tester
2023/12/07 20:01:46 UTC,qa apprenticeships
2024/01/02 20:34:07 UTC,"""analista qa"""
2023/12/11 19:04:00 UTC,tester qa
2023/12/15 21:46:10 UTC,tester / qa
2023/12/05 20:29:21 UTC,qa apprenticeships
2024/01/02 19:27:34 UTC,linkedin sales navigator
2023/12/07 20:00:26 UTC,qa
2023/12/11 20:21:28 UTC,qa
2023/12/14 20:37:32 UTC,qa analyst
2023/12/18 20:51:08 UTC,ABAP Sr
2023/12/11 18:56:26 UTC,qa tester
2023/12/11 20:21:28 UTC,tester qa
2023/12/20 18:47:27 UTC,tester / qa
2023/12/07 20:01:46 UTC,qa tester
2023/12/12 19:15:28 UTC,raúl hernández
2023/12/15 21:46:10 UTC,qa analyst
2023/12/05 20:43:43 UTC,fabricio micolini
2023/12/11 20:59:54 UTC,qa analyst
2023/12/15 21:46:10 UTC,tester qa
2023/12/14 20:37:32 UTC,tester / qa
2023/12/11 12:31:02 UTC,tester qa
2023/12/12 20:49:36 UTC,desarrolladores abap sr.
2023/12/14 20:22:49 UTC,qa tester
2023/12/20 19:42:51 UTC,tester / qa
2023/12/07 20:42:35 UTC,tester qa
2024/01/02 19:38:12 UTC,consalida
2023/12/05 20:43:43 UTC,qa
2023/12/07 20:03:04 UTC,qa tester
2023/12/04 20:49:48 UTC,qa analyst
2023/12/18 19:21:47 UTC,qa tester
2024/01/02 19:28:10 UTC,desarrolladores ABAP Sr.
2023/12/07 20:13:23 UTC,qa
2023/12/11 20:51:46 UTC,qa tester
2023/12/20 20:58:59 UTC,Ingeniero de software
2023/12/18 20:53:53 UTC,ABAP Sr
2023/12/21 19:02:07 UTC,taynes consultores
2023/12/19 19:17:30 UTC,ventus 
2023/12/07 20:39:51 UTC,tester qa
2023/12/12 20:50:32 UTC,qa
2023/12/20 18:47:23 UTC,analista qa
2023/12/13 21:00:03 UTC,qa tester
2023/12/11 19:06:46 UTC,tester qa
2023/12/04 20:49:48 UTC,qa
2023/12/07 20:13:23 UTC,Consultor de SAP
2023/12/20 20:04:31 UTC,tester qa
2023/12/11 20:59:57 UTC,desarrolladores ABAP Sr.
2023/12/14 20:46:54 UTC,tester qa
2023/12/21 18:58:01 UTC,analista qa
2023/12/14 20:22:49 UTC,tester qa
2023/12/22 20:30:38 UTC,Taynes Consultores
2023/12/20 18:47:27 UTC,qa tester
2023/12/07 20:00:26 UTC,fabricio micolini
2023/12/11 18:56:21 UTC,qa tester
2023/12/07 20:04:18 UTC,qa tester
2023/12/18 20:50:27 UTC,ABAP Sr
2023/12/14 20:24:01 UTC,desarrolladores abap sr.
2023/12/07 20:02:17 UTC,qa apprenticeships
2023/12/14 20:37:32 UTC,tester qa
2023/12/07 20:01:46 UTC,qa
2024/01/02 20:50:30 UTC,programa trainit
2024/01/02 12:26:33 UTC,desarrolladores ABAP Sr.
2024/01/02 20:50:48 UTC,programador
2023/12/07 20:18:49 UTC,qa apprenticeships
2023/12/07 20:39:50 UTC,tester qa
2023/10/19 21:01:57 UTC,tester / qa
2023/11/28 18:44:17 UTC,qa tester
2023/11/23 20:50:09 UTC,fabricio micolini
2023/11/15 18:25:29 UTC,tester / qa argentina
2023/11/30 20:20:20 UTC,soysal
2023/11/21 21:09:22 UTC,qa
2023/11/22 19:48:26 UTC,aurora moreni
2023/10/31 18:21:29 UTC,hexacta
2023/10/19 20:04:40 UTC,director
2023/11/16 20:31:42 UTC,qa
2023/11/22 19:13:38 UTC,istorming consultoría it
2023/11/08 20:19:41 UTC,qa tester
2023/11/23 19:45:24 UTC,qa apprenticeships
2023/11/30 20:17:43 UTC,qa apprenticeships
2023/10/30 19:25:39 UTC,Compudevmemb
2023/11/24 19:41:33 UTC,qa
2023/11/27 20:59:59 UTC,qa apprenticeships
2023/11/21 21:04:41 UTC,qa
2023/11/03 20:57:05 UTC,Cosys Global | Grupo KELSOFT
2023/10/31 15:37:24 UTC,byb consultores
2023/11/21 19:28:08 UTC,cognizant technology solutions
2023/10/26 18:45:16 UTC,comparto cv
2023/11/21 21:04:34 UTC,qa tester
2023/11/08 20:53:22 UTC,qa tester
2023/11/27 19:14:28 UTC,qa tester
2023/11/21 19:18:39 UTC,cognizant technology solutions
2023/11/30 20:36:32 UTC,webexport
2023/11/22 19:01:11 UTC,qa
2023/11/23 19:33:06 UTC,qa
2023/10/26 19:10:50 UTC,rr hh
2023/11/03 20:59:02 UTC,Cider SA
2023/11/06 20:38:34 UTC,tester / qa argentina
2023/11/29 19:57:43 UTC,fabricio micolini
2023/11/16 19:26:48 UTC,qa
2023/12/11 21:02:17 UTC,tester qa
2023/12/15 21:46:10 UTC,qa
2024/01/02 12:26:33 UTC,tester qa
2023/12/14 20:37:32 UTC,tester qa
2024/01/02 19:27:40 UTC,marlyn daniela baranenko a.
2023/12/07 20:04:18 UTC,qa analyst
2023/12/07 20:18:49 UTC,qa tester
2023/12/11 18:56:21 UTC,webexport
2023/12/14 20:46:54 UTC,qa
2023/12/05 20:41:59 UTC,qa tester
2023/12/20 19:43:51 UTC,analista qa
2023/12/07 20:39:40 UTC,Fabricio Micolini
2023/12/12 12:27:11 UTC,qa analyst
2024/01/02 20:34:07 UTC,desarrolladores ABAP Sr.
2023/12/12 20:49:36 UTC,qa tester
2023/12/14 20:37:32 UTC,desarrolladores abap sr.
2023/12/13 21:04:55 UTC,qa tester
2023/12/20 19:42:51 UTC,desarrolladores ABAP Sr.
2023/12/14 20:37:32 UTC,qa tester
2023/12/07 20:03:04 UTC,qa
2023/12/07 20:41:41 UTC,qa analyst
2023/12/05 19:15:50 UTC,WebExport
2023/12/12 20:49:36 UTC,qa analyst
2023/12/11 20:21:28 UTC,qa analyst
2023/12/11 19:06:46 UTC,tester / qa
2023/12/11 21:00:27 UTC,desarrollador
2023/12/14 20:22:49 UTC,qa analyst
2023/12/11 18:56:21 UTC,tester qa
2023/12/14 20:56:52 UTC,Cosys Global | Grupo KELSOFT
2023/12/19 21:01:35 UTC,analista qa
2023/12/07 20:02:17 UTC,qa analyst
2023/12/13 21:04:55 UTC,tester qa
2023/12/12 20:50:30 UTC,tester qa
2023/12/11 20:05:18 UTC,tester qa
2024/01/02 12:26:36 UTC,Analista de comercio electrónico
2023/12/11 21:00:25 UTC,desarrollador
2023/12/14 20:37:32 UTC,desarrolladores abap sr.
2024/01/02 19:28:10 UTC,analista qa
2023/12/13 21:04:54 UTC,tester qa
2023/12/07 20:18:49 UTC,qa tester
2023/12/12 20:50:31 UTC,tester qa
2023/12/07 20:03:04 UTC,fabricio micolini
2023/12/07 20:13:23 UTC,qa analyst
2023/12/11 21:00:02 UTC,desarrolladores ABAP Sr
2023/12/05 20:41:59 UTC,fabricio micolini
2023/12/05 19:17:16 UTC,qa analyst
2023/12/11 12:31:02 UTC,tester qa
2023/12/12 20:50:41 UTC,tester / qa
2023/12/11 19:06:46 UTC,tester qa
2023/12/12 12:27:11 UTC,tester qa
2023/12/20 19:42:51 UTC,qa tester
2023/12/12 12:27:11 UTC,qa
2023/12/11 19:03:53 UTC,qa
2023/12/14 20:24:01 UTC,tester qa
2023/12/07 20:18:49 UTC,qa apprenticeships
2023/12/20 20:56:40 UTC,Ingeniero de software
2023/12/07 19:47:50 UTC,Cosys Global | Grupo KELSOFT
2023/12/11 19:07:44 UTC,ceo
2024/01/02 20:24:24 UTC,CLUDE - CARTAO DE SAUDE 360 LTDA
2024/01/02 19:38:12 UTC,consalida
2023/12/07 20:04:18 UTC,webexport
2023/12/20 20:15:15 UTC,analista qa
2023/12/14 20:24:01 UTC,qa tester
2024/01/02 20:34:07 UTC,Taynes Consultores
2023/12/20 18:46:27 UTC,analista qa
2023/12/18 20:51:10 UTC,ABAP Sr
2023/12/20 19:42:51 UTC,qa analyst
2023/12/12 20:50:42 UTC,tester qa
2023/12/14 20:37:32 UTC,tester / qa
2023/12/11 20:59:49 UTC,desarrolladores ABAP Sr.
2023/12/12 20:50:32 UTC,qa tester
2023/12/22 20:30:38 UTC,desarrolladores ABAP Sr.
2023/12/07 20:48:35 UTC,tester qa
2023/12/15 21:44:30 UTC,qa
2023/12/13 21:04:55 UTC,qa
2023/12/11 19:03:52 UTC,WebExport
2023/12/07 19:48:31 UTC,Fabricio Micolini
2023/12/12 20:50:42 UTC,qa tester
2023/12/21 19:02:05 UTC,taynes
2023/12/11 21:02:18 UTC,tester qa
2023/12/07 20:41:41 UTC,tester qa
2023/12/11 12:30:54 UTC,tester qa
2023/12/07 20:04:18 UTC,qa
2023/12/04 20:49:02 UTC,qa tester
2024/01/02 12:26:33 UTC,Taynes Consultores
2023/12/15 21:43:39 UTC,tester qa
2023/12/11 20:05:29 UTC,tester qa
2023/12/14 20:24:01 UTC,qa analyst
2023/12/07 20:02:17 UTC,qa tester
2023/12/07 20:00:26 UTC,qa apprenticeships
2023/12/11 20:59:15 UTC,comparto cv
2023/12/07 20:03:04 UTC,qa
2024/01/02 19:27:51 UTC,"""analista qa"""
2023/12/14 20:27:14 UTC,qa
2023/12/11 18:56:21 UTC,tester / qa
2023/12/07 20:00:27 UTC,qa analyst
2023/12/07 20:00:27 UTC,qa
2023/12/07 20:03:04 UTC,qa analyst
2023/12/12 20:50:41 UTC,tester qa
2023/12/05 20:42:00 UTC,Analista de ventas
2023/12/11 20:05:32 UTC,tester qa
2023/12/15 21:43:46 UTC,tester qa
2023/12/05 20:43:43 UTC,qa apprenticeships
2023/12/04 20:50:15 UTC,fabricio micolini
2023/12/11 18:56:26 UTC,tester / qa
2023/12/05 20:41:59 UTC,qa
2023/12/18 12:21:05 UTC,tester qa
2023/12/05 20:41:59 UTC,qa apprenticeships
2023/12/11 19:04:00 UTC,qa
2023/12/13 21:00:03 UTC,qa analyst
2023/12/20 20:56:29 UTC,tester / qa
2023/12/05 20:43:43 UTC,qa tester
2023/12/18 19:21:47 UTC,tester qa
2023/12/18 20:29:09 UTC,it school - educación it | grupo kelsoft
2023/12/11 20:05:28 UTC,tester / qa
2023/12/11 20:59:54 UTC,desarrolladores ABAP Sr.
2023/12/07 20:02:17 UTC,qa
2023/12/11 18:56:21 UTC,qa analyst
2023/12/12 20:50:32 UTC,desarrolladores abap sr.
2023/12/19 19:26:14 UTC,tester qa
2023/12/07 20:18:49 UTC,webexport
2023/12/13 21:04:50 UTC,tester qa
2023/12/04 20:50:14 UTC,webexport
2023/12/19 21:01:35 UTC,desarrolladores ABAP Sr.
2023/12/12 20:50:42 UTC,qa
2023/12/21 19:23:26 UTC,finnegans
2023/12/07 20:41:41 UTC,qa tester
2024/01/02 20:47:07 UTC,Divulga Vagas
2023/12/22 20:31:11 UTC,Ingeniero de software
2023/12/21 19:04:14 UTC,Responsable superior de pruebas
2023/12/21 18:58:00 UTC,analista qa
2023/12/11 18:56:21 UTC,webexport
2023/12/05 19:24:54 UTC,fabricio micolini
2023/12/18 12:21:01 UTC,tester qa
2023/12/14 20:22:49 UTC,tester qa
2023/12/07 20:01:46 UTC,webexport
2023/12/07 20:02:17 UTC,fabricio micolini
2023/12/19 20:39:44 UTC,desarrolladores ABAP Sr.
2023/12/12 20:50:42 UTC,desarrolladores abap sr.
2023/12/20 20:31:02 UTC,Cosys Global | Grupo KELSOFT
2023/12/12 20:50:39 UTC,qa tester
2023/12/18 19:47:23 UTC,analista qa
2023/12/07 20:39:33 UTC,tester / qa
2023/12/07 20:03:04 UTC,qa tester
2023/12/12 20:50:32 UTC,tester / qa
2023/12/07 20:01:46 UTC,fabricio micolini
2023/12/07 20:41:41 UTC,qa analyst
2023/12/14 20:27:14 UTC,qa tester
2023/12/11 20:51:45 UTC,qa analyst
2023/12/21 19:02:06 UTC,taynes consultores
2023/12/12 20:50:34 UTC,tester qa
2023/10/12 20:40:41 UTC,analista qa
2023/10/10 20:16:25 UTC,tester qa
2023/08/31 19:56:07 UTC,desarrollador
2023/09/28 20:37:14 UTC,bolsa de empleo tuportalempleo ecuador
2023/10/10 20:44:34 UTC,recursos humanos
2023/09/22 20:29:41 UTC,programadores argentina comunidad
2023/08/31 19:16:06 UTC,daiana romano
2023/10/05 20:08:03 UTC,Ingeniero de software
2023/09/18 19:38:47 UTC,#opentowork
2023/10/10 20:02:04 UTC,recursos humanos
2023/10/09 20:19:36 UTC,Bolsa de Trabajo en Paraguay
2023/09/14 20:02:26 UTC,oprtco
2023/09/04 19:49:59 UTC,grupo kelsoft | netkel consulting
2023/10/11 20:11:43 UTC,Administrador de aplicaciones
2023/09/05 20:46:41 UTC,Cosys Global | Grupo KELSOFT
2023/09/05 20:27:23 UTC,hospitality
2023/09/22 20:49:46 UTC,Cosys Global | Grupo KELSOFT
2023/10/05 19:08:32 UTC,~ ana clara ferrari
2023/10/05 18:43:56 UTC,cv
2023/10/10 20:02:04 UTC,technical recruiter
2023/09/05 19:57:35 UTC,empleoit
2023/10/12 20:39:26 UTC,technical recruiter
2023/10/10 20:32:51 UTC,qa tester argentina
2023/09/27 20:57:23 UTC,it 
2023/10/04 18:43:14 UTC,cv
2023/10/12 20:40:40 UTC,analista qa
2023/10/04 19:22:09 UTC,recursos humanos
2023/10/11 19:47:28 UTC,tester qa
2023/10/11 20:43:50 UTC,tester / qa
2023/10/10 20:31:47 UTC,Amadeus Software Argentina
2023/09/28 20:37:17 UTC,as bolsa de empleo
2023/10/04 19:22:47 UTC,it recruiter
2023/10/04 18:42:57 UTC,cv
2023/09/26 20:45:50 UTC,comparto mi cv
2023/10/02 20:28:22 UTC,technical recruiter
2023/09/22 20:40:21 UTC,comparto mi cv
2023/10/11 20:28:34 UTC,tester / qa
2023/09/11 19:57:56 UTC,busqueda laboral
2023/10/05 19:08:38 UTC,analista en sistemas
2023/10/10 20:15:22 UTC,tester smart srl
2023/08/31 20:21:50 UTC,.net desarrolladores
2023/09/12 19:45:41 UTC,cosys global | grupo kelsoft
2023/10/10 20:17:19 UTC,tester qa
2023/10/02 20:22:17 UTC,recursos humanos
2023/10/11 20:53:52 UTC,analista qa
2023/10/10 20:15:24 UTC,tester qa
2023/10/05 20:15:06 UTC,human resources
2023/09/05 20:27:22 UTC,ramiro herrera
2023/10/12 20:40:31 UTC,technical recruiter
2023/09/28 20:40:44 UTC,cv
2023/09/08 18:51:24 UTC,busqueda activa
2023/10/12 20:26:47 UTC,analista qa
2023/10/11 20:52:12 UTC,tester / qa
2023/10/04 18:45:58 UTC,Ingeniero de software
2023/10/05 20:07:54 UTC,recursos humanos
2023/10/03 19:19:30 UTC,Cosys Global | Grupo KELSOFT
2023/09/11 19:56:28 UTC,busqueda laboral
2023/10/02 20:28:22 UTC,recursos humanos
2023/09/04 19:00:06 UTC,cosys global | grupo kelsoft
2023/10/10 20:15:27 UTC,tester qa
2023/10/03 19:41:17 UTC,cv
2023/09/15 19:55:16 UTC,iprofesional.com
2023/09/05 20:34:11 UTC,busqueda laboral
2023/10/04 18:43:44 UTC,cv
2023/10/10 19:48:58 UTC,Cosys Global | Grupo KELSOFT
2023/08/31 20:21:58 UTC,emprende aprendiendo
2023/09/05 20:40:41 UTC,busqueda empleo
2023/10/10 20:31:32 UTC,Amadeus Software Argentina
2023/09/28 20:40:31 UTC,cv
2023/09/05 20:42:16 UTC,busqueda empleo
2023/10/10 20:17:10 UTC,tester qa
2023/10/09 20:30:54 UTC,Talento IT 
2023/09/28 20:14:57 UTC,cosys global | grupo kelsoft
2023/10/04 19:22:05 UTC,recursos humanos
2023/10/09 20:56:00 UTC,recursos humanos
2023/10/10 20:36:23 UTC,recursos humanos
2023/10/04 18:46:17 UTC,recursos humanos
2023/09/26 20:45:49 UTC,comparto mi cv
2023/10/11 20:43:50 UTC,analista qa
2023/10/02 20:21:40 UTC,recursos humanos
2023/10/09 19:38:12 UTC,cosys global | grupo kelsoft
2023/10/09 20:25:56 UTC,Recursos Humanos  Latinoamérica
2023/10/04 18:46:17 UTC,technical recruiter
2023/08/30 18:58:28 UTC,empléate
2023/09/07 20:02:23 UTC,busqueda trabajo
2023/10/11 20:43:50 UTC,tester qa
2023/10/02 19:55:16 UTC,it recruiter
2023/08/31 19:54:38 UTC,desarrollador
2023/09/27 20:57:37 UTC,cv
2023/10/02 19:54:34 UTC,talent acquisition
2023/10/11 20:54:39 UTC,technical recruiter
2023/10/12 20:15:20 UTC,Cosys Global | Grupo KELSOFT
2023/10/12 20:39:26 UTC,recursos humanos
2023/10/05 18:46:21 UTC,cv
2023/10/10 20:41:21 UTC,manager
2023/10/02 20:28:14 UTC,recursos humanos
2023/10/04 18:49:33 UTC,Asesor de tecnología de la información
2023/08/30 18:58:29 UTC,empleos
2023/09/27 20:51:34 UTC,comparto mi cv
2023/09/22 20:29:41 UTC,cosys global | grupo kelsoft
2023/09/14 20:02:43 UTC,trabajo
2023/09/22 20:49:35 UTC,Cosys Global | Grupo KELSOFT
2023/10/12 20:40:40 UTC,analista qa
2023/09/28 20:37:57 UTC,cv
2023/08/30 18:58:34 UTC,empleoit
2023/09/05 20:28:24 UTC,empleoit
2023/09/14 19:58:59 UTC,openworks
2023/10/10 20:15:22 UTC,test_pavan test_kumar
2023/10/12 20:39:26 UTC,analista qa
2023/10/05 19:08:32 UTC,angeles mariel lópez pereyra
2023/08/31 19:16:09 UTC,daiana romano
2023/10/05 19:08:33 UTC,analia baptista
2023/10/03 19:37:58 UTC,cv
2023/10/02 20:35:46 UTC,RRHH
2023/10/10 20:44:51 UTC,Analista de funciones
2023/10/10 20:38:09 UTC,tester / qa 
2023/10/02 20:28:24 UTC,recursos humanos
2023/10/10 20:35:58 UTC,Analista de aseguramiento de la calidad de software
2023/10/02 19:39:30 UTC,remot
2023/10/09 20:18:16 UTC,Seleccion y Evaluacion de Recursos Humanos
2023/10/09 20:14:56 UTC,recursos humanos
2023/10/09 19:55:44 UTC,recursos humanos
2023/09/05 19:58:35 UTC,empleoit
2023/08/29 20:15:45 UTC,cosy hauz
2023/09/28 20:37:19 UTC,bolsa de empleo argentina
2023/10/02 19:55:05 UTC,it recruiter
2023/10/10 20:38:56 UTC,Probador de aseguramiento de la calidad
2023/09/07 20:01:06 UTC,busqueda trabajo
2023/09/05 20:43:45 UTC,busqueda empleo
2023/10/03 19:48:48 UTC,rrhh
2023/09/05 19:58:38 UTC,empleoit
2023/09/27 20:57:36 UTC,cv
2023/10/10 20:15:20 UTC,macarena troccoli aiello
2023/10/11 20:53:54 UTC,analista qa
2023/09/08 18:51:01 UTC,busqueda trabajo
2023/10/04 18:38:15 UTC,Cosys Global | Grupo KELSOFT
2023/10/05 18:43:58 UTC,cv
2023/09/13 19:18:13 UTC,busqueda laboral
2023/10/03 19:21:17 UTC,recursos humanos
2023/09/22 20:29:45 UTC,comparto mi cv
2023/10/02 20:13:44 UTC,RRHH
2023/09/27 20:26:59 UTC,Cosys Global | Grupo KELSOFT
2023/10/10 20:36:23 UTC,technical recruiter
2023/10/09 20:01:14 UTC,Recursos Humanos Group
2023/09/22 20:29:44 UTC,comparto mi maleta
2023/10/11 20:36:58 UTC,Cosys Global | Grupo KELSOFT
2023/09/28 20:43:27 UTC,cv
2023/10/10 20:31:46 UTC,Amadeus Software Argentina
2023/10/02 19:42:15 UTC,recruiter
2023/10/02 20:04:57 UTC,recruiter
2023/10/02 20:07:54 UTC,recruiter
2023/09/15 19:55:16 UTC,it school - educación técnica | grupo kelsoft
